ID,Question,CanonicalID,MergeGroup,IsCanonical,HasAnswer,Category,ProposedCategory
Q0299,Is it okay if I don't stay after the service?,Q0298,quiet-visit,No,No,Finding & Visiting Church,
Q0300,Can I take things at my own pace?,Q0298,quiet-visit,No,No,General,
Q0301,Can I attend church even if I don't believe in God?,Q0016,non-christian-welcome,No,No,Finding & Visiting Church,Faith & Exploring Christianity
Q0302,Can I attend without pretending to believe?,Q0301,faith-nonbeliever,No,No,Finding & Visiting Church,
Q0303,Will people respect my questions?,Q0301,faith-nonbeliever,No,No,General,
Q0304,Can I have conversations instead of debates?,Q0301,faith-nonbeliever,No,No,General,
Q0305,What if I never become a Christian?,Q0301,faith-nonbeliever,No,No,Finding & Visiting Church,
Q0306,How do adults make genuine friends anymore?,Q0306,,Yes,No,General,Belonging & Loneliness
Q0307,I know many people but don't have close friends.,Q0306,adult-friendship,No,No,General,
Q0308,I'm tired of superficial relationships.,Q0306,adult-friendship,No,No,General,
Q0309,Can church become my second family?,Q0279,belonging-core,No,No,Finding & Visiting Church,
Q0310,Where can I find mentors?,Q0310,,Yes,No,Serving & Ministry,Mentorship & Leadership
Q0311,Can I find accountability in church?,Q0311,,Yes,No,Finding & Visiting Church,Finding & Visiting Church
Q0312,How do I know God's purpose for my life?,Q0361,ministry-calling,No,No,General,
Q0313,I know my profession. How do I discover my calling?,Q0361,ministry-calling,No,No,Serving & Ministry,
Q0314,Can my career be part of God's purpose?,Q0361,ministry-calling,No,No,General,
Q0315,How do I discover my spiritual gifts?,Q0361,ministry-calling,No,No,General,
Q0316,How do I know where I should serve?,Q0361,ministry-calling,No,No,Serving & Ministry,
Q0317,Does everyone have a calling?,Q0361,ministry-calling,No,No,Serving & Ministry,
Q0318,Can ordinary people make a difference in church?,Q0318,,Yes,No,Finding & Visiting Church,Finding & Visiting Church
Q0319,I want my life to matter beyond work.,Q0279,belonging-core,No,No,General,
Q0320,Can adults learn music too?,Q0320,,Yes,No,General,Worship & Music
Q0321,Can I join the worship team if I'm a beginner?,Q0325,worship-ministry,No,No,Serving & Ministry,
Q0322,Do I need experience to serve in worship?,Q0325,worship-ministry,No,No,Serving & Ministry,
Q0323,Can my child learn worship instruments?,Q0325,worship-ministry,No,No,Families & Children,
Q0324,Can I volunteer in music before becoming a member?,Q0325,worship-ministry,No,No,Serving & Ministry,
Q0325,How does someone become part of the worship ministry?,Q0325,,Yes,No,Serving & Ministry,Worship & Music
Q0326,Can I use my musical gifts for God?,Q0325,worship-ministry,No,No,General,
Q0327,Do you encourage children to participate in worship?,Q0325,worship-ministry,No,No,Families & Children,
Q0328,Is there someone who speaks Malayalam?,Q0225,language-culture,No,No,General,
Q0329,Can someone help me connect with Telugu families?,Q0225,language-culture,No,No,General,
Q0330,Are there Nepali believers at ROLCC?,Q0225,language-culture,No,No,General,
Q0331,Is there a Hindi-speaking pastor or volunteer?,Q0225,language-culture,No,No,Serving & Ministry,
Q0332,Will I find people from North East India?,Q0225,language-culture,No,No,General,
Q0333,Can I worship in English but still connect with people from my state?,Q0225,language-culture,No,No,General,
Q0334,I don't speak Tamil. Will I feel included?,Q0225,language-culture,No,No,General,
Q0335,I'm new to Bangalore and miss speaking my language.,Q0225,language-culture,No,No,General,
Q0336,I feel emotionally exhausted all the time.,Q0339,burnout,No,No,General,
Q0337,How do I find rest beyond taking a vacation?,Q0337,,Yes,No,General,Burnout & Mental Health
Q0338,I feel successful but empty.,Q0337,rest-peace,No,No,General,
Q0339,Can church help with burnout?,Q0339,,Yes,No,Care & Hope,Burnout & Mental Health
Q0340,I don't enjoy anything anymore.,Q0343,anxiety-prayer,No,No,General,
Q0341,Why do I feel disconnected from everyone?,Q0343,anxiety-prayer,No,No,General,
Q0342,I'm constantly stressed. How do I find peace?,Q0339,burnout,No,No,General,
Q0343,Can prayer really help with anxiety?,Q0343,,Yes,No,Care & Hope,Burnout & Mental Health
Q0344,I grew up in church but drifted away. Can I come back?,Q0344,,Yes,No,Finding & Visiting Church,Returning to Faith
Q0345,I haven't opened a Bible in years. Where do I start?,Q0345,,Yes,No,General,Returning to Faith
Q0346,I don't feel close to God anymore.,Q0346,,Yes,No,General,Returning to Faith
Q0347,Can I restart my faith journey?,Q0346,drifted-from-god,No,No,General,
Q0348,Will people judge me for disappearing from church?,Q0344,returning-faith,No,No,Finding & Visiting Church,
Q0349,I've made mistakes. Will God still accept me?,Q0349,,Yes,No,General,Returning to Faith
Q0350,How do I reconnect with God after years away?,Q0345,reconnect-god,No,No,General,
Q0351,Can church feel like home again?,Q0351,,Yes,No,Finding & Visiting Church,Finding & Visiting Church
Q0352,We're both working. Is there a place for our family?,Q0354,young-families,No,No,General,
Q0353,Can we serve together as a couple?,Q0353,,Yes,No,Serving & Ministry,Young Families & Couples
Q0354,We have a toddler. Can we still attend church comfortably?,Q0354,,Yes,No,Finding & Visiting Church,Young Families & Couples
Q0355,How do we raise our children with Christian values in today's world?,Q0355,,Yes,No,Families & Children,Families & Children
Q0356,Can my spouse and I meet other young families?,Q0355,parenting-values,No,No,General,
Q0357,We're expecting our first child. Does the church have support for young parents?,Q0354,young-families,No,No,Families & Children,
Q0358,"How do we balance work, marriage and church?",Q0354,young-families,No,No,Finding & Visiting Church,
Q0359,We moved to Bangalore for work. How do we build a family community?,Q0288,settle-bangalore,No,No,General,
Q0360,I'm looking for ministry opportunities in Bangalore.,Q0360,,Yes,No,Serving & Ministry,Work & Calling
Q0361,How do I know if God is calling me into ministry?,Q0361,,Yes,No,Serving & Ministry,Work & Calling
Q0362,Can I serve God while working a full-time job?,Q0362,,Yes,No,Serving & Ministry,Work & Calling
Q0363,Is full-time ministry only for pastors?,Q0361,ministry-calling,No,No,Serving & Ministry,
Q0364,How do I prepare for ministry?,Q0364,,Yes,No,Serving & Ministry,Serving & Ministry
Q0365,I'm moving to Bangalore for ministry. Which church should I join?,Q0365,,Yes,No,Serving & Ministry,Serving & Ministry
Q0366,Can I intern at a church?,Q0366,,Yes,No,Serving & Ministry,Ministry Training & Internships
Q0367,Are there churches that mentor future leaders?,Q0417,ministry-training,No,No,Serving & Ministry,
Q0368,How do I grow in ministry while working professionally?,Q0362,serve-while-working,No,No,Serving & Ministry,Serving & Ministry
Q0369,Can I serve in church without leaving my career?,Q0362,serve-while-working,No,No,Serving & Ministry,Serving & Ministry
Q0370,How do I discover my ministry calling?,Q0361,ministry-calling,No,No,Serving & Ministry,
Q0371,How do I balance work and ministry?,Q0362,serve-while-working,No,No,Serving & Ministry,
Q0372,Can I volunteer in different ministries before deciding where I fit?,Q0372,,Yes,No,Serving & Ministry,Serving & Ministry
Q0373,I feel called by God but don't know where to begin.,Q0361,ministry-calling,No,No,General,
Q0374,Does your church mentor people who sense a call to ministry?,Q0417,ministry-training,No,No,Serving & Ministry,
Q0375,I'm studying at a Bible college. Can I serve at your church?,Q0366,ministry-intern,No,No,Serving & Ministry,
Q0376,I'm doing ministry training. Can I intern with your church?,Q0366,ministry-intern,No,No,Serving & Ministry,
Q0377,Are there opportunities for ministry students?,Q0366,ministry-intern,No,No,Serving & Ministry,
Q0378,Can I gain practical ministry experience?,Q0366,ministry-intern,No,No,Serving & Ministry,
Q0379,Does your church mentor young pastors?,Q0417,ministry-training,No,No,Serving & Ministry,
Q0380,Can I assist in children's ministry?,Q0380,,Yes,No,Families & Children,Families & Children
Q0381,Can I shadow a pastor?,Q0366,ministry-intern,No,No,Serving & Ministry,
Q0382,Can I serve while continuing my theological studies?,Q0366,ministry-intern,No,No,Serving & Ministry,
Q0383,Are there opportunities to preach or teach?,Q0417,ministry-training,No,No,General,
Q0384,Does your church help develop future ministry leaders?,Q0417,ministry-training,No,No,Serving & Ministry,
Q0385,How do I serve God while working in IT?,Q0362,serve-while-working,No,No,Serving & Ministry,
Q0386,Can I have a successful career and still serve God?,Q0362,serve-while-working,No,No,Serving & Ministry,Serving & Ministry
Q0387,Is ministry only for pastors?,Q0361,ministry-calling,No,No,Serving & Ministry,
Q0388,How do I honour God through my profession?,Q0388,,Yes,No,General,General
Q0389,Can I volunteer on weekends?,Q0242,volunteer-weekend,No,No,Serving & Ministry,
Q0390,How do I use my professional skills in church?,Q0390,,Yes,No,Finding & Visiting Church,Finding & Visiting Church
Q0391,I'm a software engineer. How can I serve?,Q0259,volunteer-skills,No,No,Serving & Ministry,
Q0392,I'm a doctor. How can I serve God?,Q0259,volunteer-skills,No,No,Serving & Ministry,
Q0393,I'm an entrepreneur. How can I make an impact?,Q0259,volunteer-skills,No,No,General,
Q0394,Can my career be part of God's calling?,Q0362,serve-while-working,No,No,Serving & Ministry,
Q0395,'m new to Bangalore. Can I attend your church?,Q0462,international-relocate,No,No,Finding & Visiting Church,
Q0396,Is your church welcoming to international visitors?,Q0396,,Yes,No,Serving & Ministry,International & Visitors
Q0397,Is the service in English?,Q0223,languages-services,No,No,Finding & Visiting Church,
Q0398,Can I attend while I'm in India for a few months?,Q0396,international-welcome,No,No,Finding & Visiting Church,International & Visitors
Q0399,I'm an exchange student. Can I join?,Q0398,international-short-stay,No,No,General,
Q0400,I'm working in Bangalore temporarily. Can I be part of your church?,Q0398,international-short-stay,No,No,Finding & Visiting Church,
Q0401,Is there an international community at your church?,Q0396,international-welcome,No,No,Serving & Ministry,
Q0402,Can I attend even if I'm only here for six months?,Q0398,international-short-stay,No,No,Finding & Visiting Church,
Q0403,Do you have people from different countries?,Q0396,international-welcome,No,No,General,
Q0404,Can I join a small group as an international student?,Q0404,,Yes,No,Serving & Ministry,Serving & Ministry
Q0405,I'm travelling for business. Can I attend this Sunday?,Q0396,international-welcome,No,No,Finding & Visiting Church,International & Visitors
Q0406,Is your church close to Electronic City / HSR / Koramangala?,Q0406,,Yes,No,Finding & Visiting Church,Finding & Visiting Church
Q0407,Will I feel welcome if I'm visiting from another country?,Q0396,international-welcome,No,No,Finding & Visiting Church,
Q0408,Does this church teach the Bible faithfully?,Q0206,bible-believing,No,No,Finding & Visiting Church,
Q0409,Is there discipleship?,Q0409,,Yes,No,General,Faith & Exploring Christianity
Q0410,Do you believe in the gifts of the Holy Spirit?,Q0409,faith-discipleship,No,No,General,
Q0411,Do you have systematic Bible study?,Q0409,faith-discipleship,No,No,General,
Q0412,Do you train leaders?,Q0310,mentorship,No,No,General,
Q0413,Is there accountability?,Q0310,mentorship,No,No,General,
Q0414,Is there mentoring?,Q0310,mentorship,No,No,Serving & Ministry,
Q0415,Can I grow spiritually here?,Q0409,faith-discipleship,No,No,General,
Q0416,Does the church equip believers for ministry?,Q0417,ministry-training,No,No,Serving & Ministry,
Q0417,Is there ministry training?,Q0417,,Yes,No,Serving & Ministry,Ministry Training & Internships
Q0418,We want our employees to volunteer.,Q0249,company-partnership,No,No,Serving & Ministry,
Q0419,Can your organization partner with us?,Q0249,company-partnership,No,No,General,
Q0420,Can our school collaborate with your children's initiatives?,Q0249,company-partnership,No,No,Families & Children,
Q0421,Can our church partner with your ministry?,Q0249,company-partnership,No,No,Serving & Ministry,
Q0422,Do you host ministry interns?,Q0366,ministry-intern,No,No,Serving & Ministry,
Q0423,Can missionaries connect with your church?,Q0423,,Yes,No,Finding & Visiting Church,Serving & Ministry
Q0424,Which churches accept Bible college interns?,Q0366,ministry-intern,No,No,Serving & Ministry,
Q0425,Can I intern while studying theology?,Q0366,ministry-intern,No,No,Serving & Ministry,
Q0426,Can I gain pastoral experience?,Q0366,ministry-intern,No,No,Serving & Ministry,
Q0427,Can I shadow pastors?,Q0366,ministry-intern,No,No,Serving & Ministry,
Q0428,I'm looking for a spiritual mentor.,Q0310,mentorship,No,No,Serving & Ministry,
Q0429,Can someone disciple me?,Q0310,mentorship,No,No,General,
Q0430,Who can guide me in my faith?,Q0310,mentorship,No,No,General,
Q0431,I'm a young leader looking for mentorship.,Q0310,mentorship,No,No,Serving & Ministry,
Q0432,Can I be mentored for ministry?,Q0310,mentorship,No,No,Serving & Ministry,
Q0433,How do I grow as a Christian leader?,Q0310,mentorship,No,No,Finding & Visiting Church,
Q0434,Does your church mentor young professionals?,Q0310,mentorship,No,No,Serving & Ministry,
Q0435,Can married couples receive mentoring?,Q0310,mentorship,No,No,Serving & Ministry,
Q0436,Is there leadership mentoring?,Q0310,mentorship,No,No,Serving & Ministry,
Q0437,Can I serve God while working full time?,Q0362,serve-while-working,No,No,Serving & Ministry,
Q0438,Can professionals be involved in ministry?,Q0362,serve-while-working,No,No,Serving & Ministry,Serving & Ministry
Q0439,How do I balance career and calling?,Q0362,serve-while-working,No,No,Serving & Ministry,
Q0440,Is business also ministry?,Q0362,serve-while-working,No,No,Serving & Ministry,Serving & Ministry
Q0441,Can software engineers serve God?,Q0259,volunteer-skills,No,No,Serving & Ministry,
Q0442,Can entrepreneurs serve in church?,Q0259,volunteer-skills,No,No,Serving & Ministry,
Q0443,I don't want to leave my career but I want to serve God.,Q0259,volunteer-skills,No,No,Serving & Ministry,
Q0444,How do I use my profession for God's Kingdom?,Q0259,volunteer-skills,No,No,General,
Q0445,How do I work for a church?,Q0445,,Yes,No,Finding & Visiting Church,Serving & Ministry
Q0446,What qualifications do churches look for?,Q0446,,Yes,No,Finding & Visiting Church,Serving & Ministry
Q0447,Can I work in church administration?,Q0447,,Yes,No,Finding & Visiting Church,Serving & Ministry
Q0448,How do I become a worship leader?,Q0325,worship-ministry,No,No,Serving & Ministry,
Q0449,Can I receive worship ministry training?,Q0325,worship-ministry,No,No,Serving & Ministry,
Q0450,Can I join a worship team without experience?,Q0325,worship-ministry,No,No,Serving & Ministry,
Q0451,My spouse and I want to serve God together.,Q0232,couples-serve,No,No,Serving & Ministry,
Q0452,Can couples lead together?,Q0232,couples-serve,No,No,General,
Q0453,How do we discover God's calling as a couple?,Q0232,couples-serve,No,No,Serving & Ministry,
Q0454,We both work full time. Can we still serve?,Q0362,serve-while-working,No,No,Serving & Ministry,
Q0455,How do we balance family and ministry?,Q0362,serve-while-working,No,No,Serving & Ministry,
Q0456,Can families volunteer together?,Q0269,family-volunteer,No,No,Serving & Ministry,
Q0457,I'm visiting India. Can I attend church?,Q0405,international-business,No,No,Finding & Visiting Church,
Q0458,I'm in Bangalore for business. Can I attend this Sunday?,Q0405,international-business,No,No,Finding & Visiting Church,
Q0459,Can international students join the church?,Q0396,international-welcome,No,No,Serving & Ministry,
Q0460,Is there an international fellowship?,Q0396,international-welcome,No,No,Serving & Ministry,
Q0461,Can I volunteer while I'm in India?,Q0404,international-cell,No,No,Serving & Ministry,
Q0462,I'm relocating to Bangalore from the US/UK/Africa. Which church should I attend?,Q0288,settle-bangalore,No,No,Finding & Visiting Church,International & Visitors
